
Image 209 |  PSNR - 34.73703817541789 | MSE - 65.5386962890625 | MAE - 472374.0
Image 210 |  PSNR - 35.80957696676652 | MSE - 51.196929931640625 | MAE - 499438.0
Image 211 |  PSNR - 31.484784826973858 | MSE - 138.5872039794922 | MAE - 940547.0
Image 212 |  PSNR - 35.15210896681218 | MSE - 59.56494140625 | MAE - 480030.0
Image 213 |  PSNR - 49.74642903479732 | MSE - 2.0680389404296875 | MAE - 115603.0
Image 214 |  PSNR - 35.65037287756296 | MSE - 53.10853576660156 | MAE - 497899.0
Image 215 |  PSNR - 26.65640700937525 | MSE - 421.27037048339844 | MAE - 1339325.0
Image 216 |  PSNR - 22.340700275954248 | MSE - 1137.9720306396484 | MAE - 2176987.0
Image 217 |  PSNR - 34.20265786518613 | MSE - 74.12007141113281 | MAE - 511233.0
Image 218 |  PSNR - 24.130411219385376 | MSE - 753.6340179443359 | MAE - 1806337.0
Image 219 |  PSNR - 26.08302696367752 | MSE - 480.7274475097656 | MAE - 1450278.0
Image 220 |  PSNR - 31.437420820574488 | MSE - 140.10690307617188 | MAE - 779070.0
Image 221 |  PSNR - 27.613375604508622 | MSE - 337.9590301513672 | MAE - 1435167.0
Image 222 |  PSNR - 23.024452299709708 | MSE - 972.2017211914062 | MAE - 2328598.0
Image 223 |  PSNR - 28.249902780037132 | MSE - 291.88470458984375 | MAE - 774164.0
Image 224 |  PSNR - 49.45208726923593 | MSE - 2.2130584716796875 | MAE - 120693.0
Image 225 |  PSNR - 26.769492700473606 | MSE - 410.44252014160156 | MAE - 1124473.0
Image 226 |  PSNR - 27.716708680403688 | MSE - 330.0127716064453 | MAE - 1202543.0
Image 227 |  PSNR - 32.5242531446581 | MSE - 109.08782958984375 | MAE - 688808.0
Image 228 |  PSNR - 23.215340962178246 | MSE - 930.3953247070312 | MAE - 1908154.0
Image 229 |  PSNR - 29.34481428927246 | MSE - 226.8402862548828 | MAE - 955241.0
Image 230 |  PSNR - 22.270150678196202 | MSE - 1156.6089477539062 | MAE - 2518410.0
Image 231 |  PSNR - 35.41936795401151 | MSE - 56.00990295410156 | MAE - 491035.0
Image 232 |  PSNR - 22.19429786467153 | MSE - 1176.9874420166016 | MAE - 2297635.0
Image 233 |  PSNR - 49.322553752773864 | MSE - 2.280059814453125 | MAE - 120176.0
Image 234 |  PSNR - 44.16840137073767 | MSE - 7.470703125 | MAE - 222822.0
Image 235 |  PSNR - 31.386629805624718 | MSE - 141.7550811767578 | MAE - 823137.0
Image 236 |  PSNR - 42.15478718950976 | MSE - 11.87744140625 | MAE - 202352.0
Image 237 |  PSNR - 33.53955205942957 | MSE - 86.34683227539062 | MAE - 588478.0
Image 238 |  PSNR - 50.05777078282949 | MSE - 1.9249725341796875 | MAE - 110531.0
Image 239 |  PSNR - 17.1625426018954 | MSE - 3749.2755126953125 | MAE - 4962264.0
Image 240 |  PSNR - 46.56865408075717 | MSE - 4.2986907958984375 | MAE - 137211.0
Image 241 |  PSNR - 28.332959720110047 | MSE - 286.35557556152344 | MAE - 1120141.0
Image 242 |  PSNR - 36.70740238943122 | MSE - 41.63526916503906 | MAE - 405911.0
Image 243 |  PSNR - 29.22782787104734 | MSE - 233.03375244140625 | MAE - 1014150.0
Image 244 |  PSNR - 37.18658716632598 | MSE - 37.28575134277344 | MAE - 453599.0
Image 245 |  PSNR - 36.1588508305547 | MSE - 47.24072265625 | MAE - 573352.0
Image 246 |  PSNR - 39.3048288493526 | MSE - 22.893844604492188 | MAE - 337783.0
Image 247 |  PSNR - 30.822178811339434 | MSE - 161.4298095703125 | MAE - 992216.0
